12	调音师 Andhadhun	2018	8.3	印地语	139.0	2019-04-03(中国大陆)|2018-10-05(印度)	印度	喜剧|悬疑|惊悚|犯罪	反转|悬疑|印度|人性|黑色幽默|犯罪|剧情|喜剧	双目失明的钢琴家阿卡什（阿尤斯曼·库拉纳 Ayushmann Khurrana 饰）为了参加国际大赛，平日里通过私人授课赚取经费。事实上他的眼睛完全正常，只不过希望通过这种方式感受不同的生活。因为一场意外，阿卡什结识了美丽的姑娘苏菲（拉迪卡·艾普特 Radhika Apte 饰）。凭借出色的演奏技巧，阿卡什在苏菲父亲经营的西餐馆谋得兼职。他的演奏不仅令食客们倾倒，更虏获了苏菲的心。某天，阿卡什接受过气的影星普拉默（安尔·德霍万 Anil Dhawan 饰）的邀请，登门为对方的妻子西米（塔布 Tabu 饰）演奏庆生，谁知却亲眼目睹了倒在血泊中的普拉默的尸体。惊慌失措的阿卡什假装镇定，虽然暂时骗过了西米及其情夫，但是他的秘密还是慢慢被人戳穿……                                    |                                　　本片改编自2010年的同名法国高分悬疑短片。	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2551995207.jpg
13	飞驰人生	2019	6.9	汉语普通话 | 英语	98.0	2019-02-05(中国大陆)	中国大陆	喜剧	赛车|喜剧|中国大陆|2019|黑色幽默|搞笑|青春|文艺	曾经叱咤风云的拉力赛车手张驰（沈腾 饰），五年前因私自赛车而被禁赛。从天堂跌落谷底，张驰饱尝生活的艰辛。他忍辱负重，洗心革面，终于争取到了解禁的判决。在此之后，他重新找到亲如兄弟的领航员孙宇强（尹正 饰），决心共同冲击本年度的巴音布鲁克拉力赛。然而在此之前，张驰必须重考驾照，改装赛车，拉到赞助。每一步都充满艰难，他忍受着旁人的奚落嘲讽，忍受着现实的冰冷残酷，无论如何都不改变前进的目标。当他好不容易走到了赛场，还将面对禁赛这几年崛起的新秀林臻东（黄景瑜 饰）的挑战。                                    |                                　　张驰的时代是否就此远去……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg
14	疯狂的外星人	2019	6.4	汉语普通话 | 英语	116.0	2019-02-05(中国大陆)	中国大陆	喜剧|科幻	喜剧|搞笑|黑色幽默|贺岁|中国大陆|春节档|2019|科幻	号称银河系最先进的外星文明试图和地球建交，谁知一连串的误会导致意外发生。外星使者的飞船坠入大气层，最终摔在了中国某市的世界公园中。靠耍猴戏为生的耿浩（黄渤 饰）和酒贩子好友大飞（沈腾 饰）把受伤的外星人错认为来自南美洲的猴子，在自家猴子受伤的情况下，耿浩开始训练起这个他口中的“刚果骚骚猴”来了。由于失去了超能力加成设备，外星人的本事无法施展，只能任由这两个傻乎乎的地球人打骂操练。尽管如此，他仍试图夺回自己的装备。另一方面，之前与外星人交流失败的超级大国根据外星人留下的信息，穿梭世界各地寻找外星使者。地球的命运朝着不可预测的方向发展……                                    |                                　　本片创意来自刘慈欣的科幻小说《乡村教师》。	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg
15	金蝉脱壳3：恶魔车站 Escape Plan: The Extractors	2019	4.1	英语 | 汉语普通话	87.0	2019-07-02(美国)	美国	动作	动作|金蝉脱壳|美国|烂片|张晋|犯罪|2019|史泰龙	某香港科技大亨的女儿失踪，Breslin发现罪犯是自己一个老对手的疯狂儿子，他还绑架了Breslin的爱人Abigail，并把她关在名为“恶魔车站”的巨大监狱里。 Breslin将和自己的团队硬闯虎穴，试图劫狱。	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2556785928.jpg
16	波西米亚狂想曲 Bohemian Rhapsody	2018	8.7	英语	135.0	2019-03-22(中国大陆)|2018-11-02(美国)	英国 | 美国	剧情|音乐|传记	传记|音乐|摇滚|queen|英国|美国|剧情|2018	本片是对皇后乐队、传奇主唱弗雷迪·莫库里以及他们音乐的致敬盛宴，这是一段充满爱、痛苦、接纳和音乐的旅程。                                    |                                　　弗雷迪·莫库里（拉米·马雷克 饰）曾是希思罗机场的一名普通搬运工，对音乐满腔热血的他，与布莱恩·梅（格威利姆·李 饰）、罗杰·泰勒（本·哈迪 饰）、约 翰·迪肯（约瑟夫·梅泽罗 饰）组成皇后乐队。这个殿堂级乐队的从无到有，从疏离到重聚，从低谷到巅峰，仿佛就是弗雷迪一生的缩影。在最后的日子里，弗雷迪做了生命中最重要的决定——在音乐史上最伟大的“拯救生命”大型摇滚乐演唱会上，将所有热血付诸于歌声。	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg
17	海王 Aquaman	2018	7.6	英语 | 毛利语 | 意大利语 | 俄语	143.0	2018-12-07(中国大陆)|2018-12-21(美国)	美国 | 澳大利亚	动作|奇幻|冒险	DC|超级英雄|特效|美国|奇幻|动作|2018|漫画改编	许多年前，亚特兰蒂斯女王（妮可·基德曼 Nicole Kidman 饰）和人类相知相恋，共同孕育了爱情的结晶——后来被陆地人称为海王的亚瑟·库瑞（杰森·莫玛 Jason Momoa 饰）。在成长的过程中，亚瑟接受海底导师维科（威廉·达福 Willem Dafoe 饰）的严苛训练，时刻渴望去看望母亲，然而作为混血的私生子这却是奢望。与此同时，亚瑟的同母异父兄弟奥姆（帕特里克·威尔森 Patrick Wilson 饰）成为亚特兰蒂斯的国王，他不满陆地人类对大海的荼毒与污染，遂谋划联合其他海底王国发动对陆地的全面战争。为了阻止他的野心，维科和奥姆的未婚妻湄拉（艾梅柏·希尔德 Amber Heard 饰）将亚瑟带到海底世界。                                    |                                　　宿命推动着亚瑟，去寻找失落已久的三叉戟，建立一个更加开明的海底王国……	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541280047.jpg
18	蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse	2018	8.6	英语 | 西班牙语	116.0	2018-12-21(中国大陆)|2018-12-14(美国)	美国	动作|科幻|动画|冒险	蜘蛛侠|漫威|动画|超级英雄|漫画改编|美国|科幻|2018	正就读中学的少年迈尔斯（沙梅克·摩尔 Shameik Moore 配音）意外被一只遭受放射性污染的蜘蛛咬伤，随后身体发生奇特的变化。偶然机缘，他目睹了蜘蛛侠（克里斯·派恩 Chris Pine 配音）和犯罪头目金并（列维·施瑞博尔 Liev Schreiber 配音）的战斗。为了阻止金并利用时空对撞机扰乱宇宙，蜘蛛侠最终壮烈牺牲。可未过多久，来自平行宇宙的颓废的彼德·帕克（杰克·约翰逊 Jake M. Johnson 配音）出现在迈尔斯面前。为了阻止金并的阴谋，并帮助这个帕克返回自己的宇宙，他们闯入金并的老巢。在这一过程中，二人遭到章鱼博士和徘徊者的狙击。与此同时，来自其他宇宙的女蜘蛛侠、暗影蜘蛛侠、蜘猪侠、二次元蜘蛛妹相继出现。                                    |                                　　他们合力与恶势力展开斗争……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2542867516.jpg
19	阿丽塔：战斗天使 Alita: Battle Angel	2019	7.6	英语 | 西班牙语	122.0	2019-02-22(中国大陆)|2019-02-05(台湾)|2019-02-14(美国)	美国 | 加拿大 | 阿根廷	动作|科幻|冒险	科幻|机器人|漫画改编|动作|美国|赛博朋克|2019|动画	故事发生在遥远的26世纪，外科医生依德（克里斯托弗·瓦尔兹 Christoph Waltz 饰）在垃圾场里捡到了只剩下头部的机械少女将她带回家中，给她装上了本来为自己已故的女儿所准备的义体，并取名阿丽塔（罗莎·萨拉扎尔 Rosa Salazar 饰）。苏醒后的阿丽塔对这个五彩斑斓但却暴力而又残酷的世界产生了浓厚的兴趣，在结识了青年雨果（基恩·约翰逊 Keean Johnson 饰）后，阿丽塔开始接触名为机动球的运动，并在比赛中展现出了惊人的格斗天赋。                                        |                                    　　在废铁城居民们的头顶，漂浮着巨大的浮空城市撒冷，废铁城居民们的一切劳作和付出，都是为了给撒冷提供继续运作的燃料。在大财阀维克特（马赫沙拉·阿里 Mahershala Ali 饰）所设立的机动球比赛中，最终获得冠军的人能够获得前往撒冷生活的资格，阿丽塔决定利用自己的格斗天赋参加比赛，却被卷入了一个巨大的阴...	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544987866.jpg
20	一出好戏	2018	7.1	汉语普通话	134.0	2018-08-10(中国大陆)	中国大陆	剧情|喜剧	人性|黑色幽默|荒岛求生|中国大陆|喜剧|剧情|2018|搞笑	马进欠下债务，与远房表弟小兴在底层社会摸爬滚打，习惯性的买彩票，企图一夜暴富，并迎娶自己的同事姗姗。一日，公司全体员工出海团建，途中，马进收到了彩票中头奖的信息，六千万！就在马进狂喜自己翻身的日子终于到来之际，一场突如其来的滔天巨浪打破了一切。苏醒过来的众人发现身处荒岛 ，丧失了一切与外界的联系……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529571873.jpg
21	惊奇队长 Captain Marvel	2019	6.9	英语	124.0	2019-03-08(美国/中国大陆)	美国	动作|科幻|冒险	漫威|超级英雄|科幻|美国|女性|2019|漫画改编|动作	在围剿斯克鲁人的战斗中，克里人星际战队成员弗斯（布丽·拉尔森 Brie Larson 饰）不幸成为对方的俘虏。斯克鲁人尝试探究弗斯的记忆，最终发现连弗斯本人都不知道的一段往事，进而也得知名为温迪•劳森博士的女子掌握着他们急于得到的时空引擎。趁对方不备，拥有强大超能力的弗斯摆脱束缚，逃到了代号为C-53的地球，而这里也正是她那段失落的记忆的发生地。未过多久，神盾局探员弗瑞特工（塞缪尔·杰克逊 Samuel L. Jackson 饰）找上门来，而紧随其后的斯克鲁人更是引发了地球人前所未见的大骚动。                                    |                                　　在这一过程中，弗瑞特工意识到事态的严重性，并且帮助弗斯认清本来的自己。倔强的弗斯，终于找到了真正需要保护的东西……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546360443.jpg
