16	布莱恩·辛格	拉米·马雷克|本·哈迪|约瑟夫·梅泽罗|格威利姆·李|艾伦·里奇|露西·宝通|艾丹·吉伦|汤姆·霍兰德|麦克·梅尔斯|阿隆·麦克卡斯克|梅内卡·达斯|迪基·博|蒂姆· 普莱斯特|杰克·罗思|马克斯·班内特|基兰·哈德卡斯托|罗斯·格林|布鲁斯·麦克金伦|米歇尔·邓肯|马特·格林伍德|罗茜·本杰明|约翰·奥特曼|詹姆斯·华莱士|文森特·阿德里安|拉斯科·阿特金斯|乔纳森·奇塔姆|迈克尔·科布|耶稣·加洛|亚当·兰伯特|豪尔赫·莱昂·马丁内斯|杰森· 莱恩斯|伊斯雷尔·鲁兹
17	温子仁	杰森·莫玛|艾梅柏·希尔德|威廉·达福|帕特里克·威尔森|妮可·基德曼|杜夫·龙格尔|叶海亚·阿卜杜勒-迈丁|特穆拉·莫里森|林路迪|迈克尔·比奇|兰道尔·朴|格拉汉姆·麦克泰维什|雷·沃纳尔|泰努伊·柯克伍德|塔穆尔·柯克伍德|丹泽尔·夸克|卡恩·古尔杜尔|奥蒂斯·丹吉|克考亚·克库毛诺|朱莉·安德鲁斯|约翰·瑞斯-戴维斯|杰曼·翰苏|索菲亚·福雷斯特|娜塔莉亚·姗福瑞|杰克·安德鲁|汉克·阿莫斯|帕特里克·考克斯|罗伯特·朗斯特里特|德维卡·帕利赫|梅布尔·塔莫内|文森特·B·拉戈斯|加布里埃拉·佩特科娃|爱丽丝·兰斯伯里|帕特里克·艾奇逊|约翰·盖蒂尔|塔丽亚·杰德·霍尔特|罗斯·克纳汉|布拉登·刘易斯|萨尔瓦多·梅伦达|山姆·莫纳汉|温妮·穆赞贝|凯·潘塔诺|安娜·帕奇|乔恩·奎斯蒂德|迪伦·斯图默|米奇·武尔夫
18	鲍勃·佩尔西凯蒂|彼得·拉姆齐|罗德尼·罗斯曼	沙梅克·摩尔|杰克·约翰逊|海莉·斯坦菲尔德|马赫沙拉·阿里|布莱恩·泰里·亨利|莉莉·汤姆林|劳伦·维勒斯|佐伊·克罗维兹|约翰·木兰尼|金可·格伦|尼古拉斯·凯奇|凯瑟琳·哈恩|列维·施瑞博尔|克里斯·派恩|娜塔丽·莫瑞丝|奥斯卡·伊萨克|格里塔·李|斯坦·李|乔玛·塔科内|华金·科西奥|蕾克·贝尔|梅勒妮·海恩斯|尼克·杰恩|穆尼卜·拉赫曼|卡洛斯·萨拉戈萨|黛西·罗斯·布莱内斯|里夫·霍顿|哈里森·奈特|莱克斯·朗|凯特琳·麦肯纳-威尔金森|斯科特·门维尔|克里斯托弗·米勒|德维卡·帕利赫|柯特妮·佩尔顿|克里斯蒂·法瑞斯|杰奎琳·皮诺尔|贾斯汀·沉卡罗|梅利莎·斯特姆
19	罗伯特·罗德里格兹	罗莎·萨拉查|克里斯托弗·沃尔兹|基恩·约翰逊|艾德·斯克林|马赫沙拉·阿里|詹妮弗·康纳利|杰基·厄尔·哈利|拉娜·康多|小豪尔赫·兰登伯格|艾莎·冈萨雷斯|卡斯帕·凡·迪恩|米歇尔·罗德里格兹|爱德华·诺顿|杰夫·法赫|山姆·麦地那|德里克·梅耶斯|艾丽·拉蒙特|豪尔赫·A·希门尼斯|马克·扎罗|比利·布莱尔|伦纳德·吴|特里斯坦·里格斯|迈克尔·洛夫·托利弗|金|达塞尔·丹妮尔|马克·A·怀特
20	黄渤	黄渤|舒淇|王宝强|张艺兴|于和伟|王迅|李勤勤|李又麟|宁浩|管虎|梁静|徐峥|陈德森|张磊
21	安娜·波顿|瑞安·弗雷克	布丽·拉尔森|裘德·洛|塞缪尔·杰克逊|本·门德尔森|安妮特·贝宁|麦肯娜·格瑞丝|克拉克·格雷格|嘉玛·陈|李·佩斯|杰曼·翰苏|拉什纳·林奇|阿基拉·阿克巴|科林·福特|卓库·莫度|肯内特·米歇尔|罗伯特·卡辛斯基|詹姆斯·莫里森|皮特·普劳泽克|马修·马希尔|安东尼·莫利纳利|马修·弗林·贝罗斯|加斯顿·达尔莫|亚当·哈特|马克·多尔蒂|雷尼尔·鲁菲诺|约翰·盖蒂尔|斯坦·李|克里斯·埃文斯|斯嘉丽·约翰逊|马克·鲁弗洛|唐·钱德尔
22	奥里奥尔·保罗	阿德里亚娜·乌加特|奇诺·达林|阿尔瓦罗·莫奇|诺拉·纳瓦斯|哈维尔·古铁雷斯|米格尔·费南德斯|克拉拉·塞古拉|米玛·里埃拉|艾娜·克洛特|阿尔伯特·佩雷斯|弗兰塞斯克·奥雷利亚|阿娜·瓦格纳|西尔维亚·阿隆索|贝伦·鲁埃达
23	饶晓志	陈建斌|任素汐|潘斌龙|章宇|王砚辉|九孔|马吟吟|程怡|宁桓宇|邓恩熙|谢波|范翔|赵梓冲|史策|马睿瀚|林海|邓钢
24	阿方索·卡隆	雅利扎·阿巴里西奥|玛丽娜·德·塔维拉|迭戈·科蒂娜·奥特里|卡洛斯·佩拉尔塔|马科·格拉夫|丹妮拉·德米萨|南茜·加西亚|维罗妮卡·加西亚|安迪·科特斯|费尔南多·格雷迪亚加|豪尔赫·安东尼奥·格雷罗|拉丁·洛弗
25	贾斯汀·贝尔杜尼	海莉·露·理查森|科尔·斯普罗斯|克莱尔·弗兰妮|莫伊塞斯·阿里亚斯|帕敏德·纳格拉|艾米丽·芭尔多尼|加里·维克斯|金博利·赫伯特·格雷戈里|吉姆·格里森
